No,DataTime,MilliSec,Main_Flow,IN_PT050,OUT_PT050,PT03,LT01,TT01,TT050,Rpm,Main_VAC,Main_A,Main_kW,Main_Var,Main_Vp,Main_Ap,Main_Bp,Main_Cp,Main_PF,Main_Hz,Main_Va,Main_Vb,Main_Vc,Main_Aa,Main_Ab,Main_Ac,Main_Vab,Main_Vbc,Main_Vca,
0,2026-01-13 17:00:00,0,19.86,0.02,13.7,40,0.1403,5.8,6.5,0,441.4,19.7,12.84,-0.036,0.622,9.9,9.6,10.1,0.85,60,441.4,0,441.5,19.8,19.3,20.1,441.4,441.5,441.5,
1,2026-01-13 17:00:01,0,19.86,0.03,13.7,40,0.1391,5.8,6.4,0,441.4,19.7,12.85,-0.022,0.634,9.9,9.6,10.1,0.85,60,441.3,0,441.4,19.8,19.3,20.2,441.3,441.4,441.4,
2,2026-01-13 17:00:02,0,19.87,0.03,13.7,40,0.1392,5.8,6.4,0,441.4,19.7,12.84,-0.021,0.629,9.9,9.6,10.1,0.85,60,441.4,0,441.5,19.8,19.3,20.2,441.4,441.5,441.4,
3,2026-01-13 17:00:03,0,19.87,0.03,13.7,40,0.14,5.8,6.5,0,441.3,19.7,12.83,-0.048,0.608,9.9,9.6,10.1,0.85,60,441.3,0,441.4,19.8,19.3,20.1,441.3,441.4,441.3,
4,2026-01-13 17:00:04,0,19.87,0.03,13.7,40,0.1386,5.8,6.4,0,441.4,19.7,12.84,-0.049,0.611,9.9,9.6,10.1,0.85,60,441.4,0,441.4,19.8,19.3,20.1,441.4,441.4,441.4,
5,2026-01-13 17:00:05,0,19.85,0.03,13.8,40,0.1388,5.8,6.5,0,441.3,19.7,12.84,-0.042,0.618,9.9,9.6,10.1,0.85,60,441.3,0,441.4,19.8,19.3,20.1,441.3,441.4,441.3,
6,2026-01-13 17:00:06,0,19.86,0.03,13.8,40,0.1397,5.8,6.4,0,441.4,19.7,12.84,-0.028,0.623,9.9,9.6,10.1,0.85,60,441.4,0,441.5,19.8,19.3,20.2,441.4,441.4,441.4,
7,2026-01-13 17:00:07,0,19.85,0.03,13.7,40,0.1391,5.8,6.4,0,441.6,19.8,12.86,-0.005,0.652,9.9,9.7,10.1,0.85,60,441.6,0,441.6,19.8,19.3,20.2,441.6,441.6,441.5,
8,2026-01-13 17:00:08,0,19.83,0.03,13.7,40,0.1388,5.8,6.4,0,441.5,19.7,12.84,-0.03,0.626,9.9,9.6,10.1,0.85,60,441.5,0,441.5,19.8,19.3,20.1,441.5,441.5,441.5,
9,2026-01-13 17:00:09,0,19.84,0.03,13.8,40,0.1403,5.8,6.4,0,441.7,19.7,12.86,-0.038,0.633,9.9,9.6,10.1,0.85,60,441.7,0,441.7,19.8,19.3,20.1,441.7,441.7,441.7,
10,2026-01-13 17:00:10,0,19.81,0.03,13.8,40,0.1398,5.8,6.4,0,441.6,19.8,12.88,-0.032,0.653,9.9,9.7,10.1,0.85,60,441.6,0,441.6,19.8,19.3,20.2,441.6,441.6,441.6,
11,2026-01-13 17:00:11,0,19.82,0.02,13.8,40,0.1385,5.8,6.3,0,441.3,19.8,12.86,-0.037,0.641,9.9,9.7,10.1,0.85,60,441.3,0,441.3,19.8,19.3,20.2,441.3,441.3,441.3,
12,2026-01-13 17:00:12,0,19.85,0.03,13.7,40,0.1394,5.8,6.4,0,441.3,19.7,12.84,-0.021,0.63,9.9,9.6,10.1,0.85,60,441.3,0,441.4,19.8,19.3,20.2,441.3,441.4,441.3,
13,2026-01-13 17:00:13,0,19.89,0.03,13.7,40,0.1397,5.8,6.5,0,441.1,19.7,12.82,-0.039,0.606,9.9,9.6,10.1,0.85,60,441.1,0,441.1,19.8,19.3,20.2,441.1,441.1,441.1,
14,2026-01-13 17:00:14,0,19.87,0.03,13.7,40,0.1391,5.8,6.3,0,441.1,19.8,12.87,-0.05,0.636,9.9,9.7,10.1,0.85,60,441.1,0,441.1,19.8,19.3,20.2,441.1,441.1,441.1,
