No,DataTime,MilliSec,Main_Flow,IN_PT050,OUT_PT050,PT03,LT01,TT01,TT050,Rpm,Main_VAC,Main_A,Main_kW,Main_Var,Main_Vp,Main_Ap,Main_Bp,Main_Cp,Main_PF,Main_Hz,Main_Va,Main_Vb,Main_Vc,Main_Aa,Main_Ab,Main_Ac,Main_Vab,Main_Vbc,Main_Vca,
0,2026-01-13 16:12:20,0,0,0.14,16.3,40,0.1401,5.6,12.6,0,441.3,0,0,0,0,0,0,0,0,60,441.2,0,441.2,0,0,0,441.2,441.1,441.5,
1,2026-01-13 16:12:21,0,0,0.15,16.3,40,0.1399,5.5,12.6,0,430.1,58.7,22.64,0.104,0.487,29.1,29,30,0.54,60,430.1,0,429.9,58.2,57.9,59.9,430.1,429.9,430.2,
2,2026-01-13 16:12:22,0,0,0.16,16.3,40,0.1404,5.6,12.6,0,439.1,11.5,5.9,-0.098,0.226,5.9,5.6,5.9,0.67,60,438.9,0,439,11.7,11.1,11.8,438.9,439,439.2,
3,2026-01-13 16:12:23,0,0,0.15,16.3,40,0.1386,5.6,12.6,0,439.1,11.5,5.86,-0.104,0.195,5.8,5.5,5.9,0.67,60,439.1,0,439,11.7,11.1,11.7,439.1,439,439.3,
4,2026-01-13 16:12:24,0,0,0.15,16.3,40,0.1403,5.6,12.6,0,439.1,11.6,5.97,-0.063,0.296,5.9,5.6,5.9,0.68,60,439,0,439,11.8,11.2,11.8,439,439,439.3,
5,2026-01-13 16:12:25,0,0,0.15,16.3,40,0.1396,5.5,12.6,0,438.3,11.5,5.92,-0.167,0.186,5.8,5.5,5.9,0.68,60,438.2,0,438.2,11.7,11.1,11.7,438.2,438.2,438.5,
6,2026-01-13 16:12:26,0,0,0.15,16.3,40,0.1384,5.5,12.7,0,438.3,11.5,5.85,-0.06,0.221,5.9,5.6,5.9,0.67,60,438.3,0,438.1,11.7,11.2,11.8,438.3,438.1,438.5,
7,2026-01-13 16:12:27,0,0,0.15,16.2,40,0.139,5.6,12.8,0,438.5,11.4,5.79,-0.166,0.103,5.8,5.5,5.8,0.67,60,438.5,0,438.4,11.6,11,11.6,438.5,438.3,438.8,
8,2026-01-13 16:12:28,0,0,0.14,16.3,40,0.1395,5.5,12.6,0,438.5,11.5,5.78,-0.076,0.16,5.8,5.5,5.8,0.67,60,438.4,0,438.3,11.7,11.1,11.7,438.4,438.3,438.7,
9,2026-01-13 16:12:29,0,0,0.14,16.4,40,0.1395,5.6,12.6,0,438.5,11.4,5.81,-0.171,0.114,5.8,5.5,5.8,0.67,60,438.4,0,438.3,11.6,11,11.6,438.4,438.2,438.8,
10,2026-01-13 16:12:30,0,0,0.15,16.3,40,0.14,5.6,12.6,0,438.6,11.5,5.79,-0.081,0.164,5.8,5.5,5.8,0.67,60,438.6,0,438.4,11.7,11.1,11.7,438.6,438.4,438.8,
11,2026-01-13 16:12:31,0,0,0.15,16.3,40,0.1406,5.5,12.7,0,438.8,11.4,5.78,-0.144,0.113,5.8,5.5,5.8,0.67,60,438.8,0,438.7,11.6,11,11.6,438.8,438.6,439.1,
12,2026-01-13 16:12:32,0,0,0.15,16.2,40,0.1397,5.5,12.6,0,438.7,11.4,5.78,-0.099,0.148,5.8,5.5,5.8,0.67,60,438.6,0,438.5,11.7,11,11.7,438.6,438.5,439,
13,2026-01-13 16:12:33,0,0,0.14,16.3,40,0.1385,5.5,12.6,0,439,11.4,5.76,-0.108,0.125,5.8,5.5,5.8,0.67,60,438.9,0,438.8,11.6,11,11.6,438.9,438.8,439.3,
14,2026-01-13 16:12:34,0,0,0.15,16.3,40,0.1396,5.6,12.6,0,438.8,11.4,5.79,-0.129,0.129,5.8,5.5,5.8,0.67,60,438.8,0,438.6,11.6,11,11.6,438.8,438.5,439.1,
15,2026-01-13 16:12:35,0,0,0.15,16.3,40,0.1382,5.5,12.6,0,438.9,11.5,5.78,-0.074,0.161,5.8,5.5,5.8,0.67,60,438.8,0,438.7,11.7,11,11.6,438.8,438.6,439.3,
16,2026-01-13 16:12:36,0,0,0.14,16.2,40,0.1409,5.5,12.8,0,438.9,11.4,5.75,-0.149,0.085,5.8,5.5,5.8,0.67,60,438.8,0,438.6,11.6,10.9,11.5,438.8,438.6,439.2,
17,2026-01-13 16:12:37,0,0,0.15,16.3,40,0.1399,5.6,12.6,0,438.9,11.4,5.74,-0.065,0.145,5.8,5.5,5.8,0.66,60,438.9,0,438.7,11.6,11,11.6,438.9,438.7,439.2,
18,2026-01-13 16:12:38,0,0,0.14,16.3,40,0.1391,5.5,12.6,0,438.9,11.3,5.73,-0.172,0.056,5.8,5.5,5.8,0.67,60,438.8,0,438.6,11.5,10.9,11.5,438.8,438.6,439.2,
19,2026-01-13 16:12:39,0,0,0.14,16.3,40,0.1401,5.6,12.6,0,438.5,11.4,5.7,-0.09,0.099,5.8,5.5,5.8,0.66,60,438.4,0,438.4,11.6,11,11.6,438.4,438.3,438.7,
20,2026-01-13 16:12:40,0,0,0.15,16.3,40,0.1403,5.5,12.6,0,438.8,11.3,5.72,-0.163,0.054,5.8,5.5,5.8,0.67,60,438.7,0,438.6,11.5,10.9,11.5,438.7,438.6,439,
21,2026-01-13 16:12:41,0,0,0.15,16.3,40,0.1401,5.6,12.6,0,438.8,11.4,5.7,-0.098,0.094,5.8,5.5,5.8,0.66,60,438.7,0,438.7,11.5,11,11.6,438.7,438.7,439,
22,2026-01-13 16:12:42,0,0,0.14,16.4,40,0.139,5.6,12.8,0,438.8,11.3,5.67,-0.137,0.042,5.7,5.4,5.8,0.66,60,438.7,0,438.7,11.5,10.9,11.5,438.7,438.6,439,
23,2026-01-13 16:12:43,0,0,0.14,16.3,40,0.1393,5.6,12.6,0,438.8,11.3,5.69,-0.132,0.06,5.8,5.5,5.8,0.66,60,438.7,0,438.6,11.5,10.9,11.5,438.7,438.6,439,
24,2026-01-13 16:12:44,0,0,0.15,16.3,40,0.1409,5.5,12.6,0,438.6,11.4,5.69,-0.098,0.089,5.8,5.5,5.8,0.66,60,438.6,0,438.5,11.5,10.9,11.6,438.6,438.5,438.8,
25,2026-01-13 16:12:45,0,0,0.15,16.3,40,0.1391,5.6,12.6,0,438.7,11.3,5.7,-0.157,0.047,5.7,5.4,5.8,0.67,60,438.7,0,438.6,11.5,10.9,11.5,438.7,438.6,439,
26,2026-01-13 16:12:46,0,0,0.15,16.3,40,0.138,5.6,12.6,0,438.3,11.4,5.67,-0.095,0.077,5.8,5.5,5.8,0.66,60,438.2,0,438.2,11.5,10.9,11.6,438.2,438.2,438.6,
27,2026-01-13 16:12:47,0,0,0.14,16.2,40,0.1396,5.6,12.8,0,438.5,11.3,5.69,-0.182,0.021,5.7,5.4,5.8,0.67,60,438.4,0,438.4,11.5,10.9,11.5,438.4,438.4,438.8,
28,2026-01-13 16:12:48,0,0,0.14,16.3,40,0.1398,5.6,12.6,0,438.7,11.4,5.71,-0.09,0.107,5.8,5.5,5.8,0.66,60,438.5,0,438.5,11.6,11,11.6,438.5,438.5,438.9,
29,2026-01-13 16:12:49,0,0,0.14,16.3,40,0.1377,5.6,12.6,0,438.8,11.3,5.68,-0.165,0.029,5.7,5.4,5.8,0.66,60,438.7,0,438.8,11.5,10.9,11.5,438.7,438.7,439.1,
