No,DataTime,MilliSec,Main_Flow,IN_PT050,OUT_PT050,PT03,LT01,TT01,TT050,Rpm,Main_VAC,Main_A,Main_kW,Main_Var,Main_Vp,Main_Ap,Main_Bp,Main_Cp,Main_PF,Main_Hz,Main_Va,Main_Vb,Main_Vc,Main_Aa,Main_Ab,Main_Ac,Main_Vab,Main_Vbc,Main_Vca,
0,2026-01-13 16:53:44,0,9.63,0,12.8,40,0.14,5.7,6.3,0,440.6,20.4,13.37,0.015,0.442,10.3,9.9,10.4,0.86,60,440.4,0,440.5,20.5,19.8,20.8,440.4,440.5,440.9,
1,2026-01-13 16:53:45,0,13.73,0,12.8,40,0.1395,5.7,6.3,0,440.7,20.4,13.36,0.035,0.449,10.3,9.9,10.4,0.86,60,440.5,0,440.6,20.5,19.9,20.8,440.5,440.5,440.9,
2,2026-01-13 16:53:46,0,16.01,0,12.8,40,0.1393,5.7,6.3,0,440.8,20.4,13.39,0.056,0.48,10.3,9.9,10.4,0.86,60,440.7,0,440.8,20.6,19.9,20.9,440.7,440.7,441.1,
3,2026-01-13 16:53:47,0,17.58,0,12.8,40,0.1397,5.7,6.3,0,440.7,20.4,13.36,0.073,0.471,10.3,9.9,10.4,0.86,60,440.6,0,440.7,20.5,19.9,20.9,440.6,440.7,441,
4,2026-01-13 16:53:48,0,18.48,0,12.9,40,0.1391,5.7,6.3,0,440.7,20.4,13.36,0.041,0.447,10.2,9.9,10.4,0.86,60,440.5,0,440.7,20.5,19.9,20.8,440.5,440.7,440.9,
5,2026-01-13 16:53:49,0,19.4,0,12.8,40,0.14,5.7,6.4,0,440.7,20.4,13.36,0.033,0.443,10.3,9.9,10.4,0.86,60,440.5,0,440.6,20.5,19.9,20.8,440.5,440.6,440.9,
6,2026-01-13 16:53:50,0,20.22,0,12.8,40,0.1403,5.7,6.3,0,440.6,20.4,13.35,0.036,0.44,10.3,9.9,10.4,0.86,60,440.5,0,440.6,20.5,19.9,20.8,440.5,440.6,440.8,
7,2026-01-13 16:53:51,0,20.85,0,12.8,40,0.139,5.7,6.3,0,440.6,20.4,13.35,0.061,0.451,10.3,9.9,10.4,0.86,60,440.5,0,440.5,20.5,19.9,20.8,440.5,440.5,440.9,
8,2026-01-13 16:53:52,0,21.15,0,12.9,40,0.1397,5.8,6.3,0,440.9,20.4,13.34,0.061,0.446,10.3,9.9,10.4,0.86,60,440.7,0,440.8,20.5,19.8,20.8,440.7,440.8,441.1,
9,2026-01-13 16:53:53,0,21.56,0,12.8,40,0.1398,5.7,6.3,0,441.1,20.4,13.38,0.043,0.466,10.3,9.9,10.4,0.86,60,441,0,441,20.5,19.9,20.8,441,440.9,441.3,
